svcscan.fs_drivers,callbacks.ngeneric,psxview.not_in_eprocess_pool_false_avg,psxview.not_in_eprocess_pool,callbacks.nanonymous,psxview.not_in_session,psxview.not_in_pslist,psxview.not_in_pspcid_list,psxview.not_in_ethread_pool,psxview.not_in_csrss_handles,psxview.not_in_pslist_false_avg,psxview.not_in_pspcid_list_false_avg,psxview.not_in_deskthrd,psxview.not_in_ethread_pool_false_avg,psxview.not_in_session_false_avg,Class
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.044444444,1
26,8,0.0,0,0,5,3,3,3,7,0.073170732,0.073170732,9,0.073170732,0.12195122,1
26,8,0.0,0,0,9,7,7,7,11,0.152173913,0.152173913,13,0.152173913,0.195652174,1
26,8,0.0,0,0,3,1,1,2,6,0.022222222,0.022222222,9,0.044444444,0.066666667,1
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.048780488,0
26,8,0.0,0,0,3,1,1,1,5,0.022222222,0.022222222,7,0.022222222,0.066666667,1
26,8,0.0,0,0,7,5,5,7,11,0.111657,0.111657,13,0.138874243,0.149805344,0
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.045454545,1
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,5,0.0,0.048780488,0
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.047619048,0
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.05,0
26,8,0.0,0,0,2,0,0,1,5,0.0,0.0,7,0.025,0.05,1
26,8,0.0,0,0,3,1,1,1,5,0.022222222,0.022222222,7,0.022222222,0.066666667,1
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.045454545,0
26,8,0.0,0,0,5,3,3,3,7,0.066666667,0.066666667,9,0.066666667,0.111111111,1
26,8,0.0,0,0,4,2,2,3,7,0.058546057,0.058546057,9,0.073182572,0.106825747,0
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,5,0.0,0.048780488,0
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.045454545,0
26,8,0.0,0,0,4,2,2,2,6,0.05,0.05,8,0.05,0.1,1
26,8,0.0,0,0,5,3,3,3,7,0.068181818,0.068181818,9,0.068181818,0.113636364,1
26,8,0.0,0,0,9,7,7,8,12,0.134615385,0.134615385,14,0.153846154,0.173076923,0
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.047619048,0
26,8,0.0,0,0,5,3,3,4,8,0.068181818,0.068181818,10,0.090909091,0.113636364,1
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,5,0.0,0.074074074,1
26,8,0.0,0,0,3,1,1,1,5,0.02173913,0.02173913,7,0.02173913,0.065217391,1
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.047619048,0
26,8,0.0,0,0,2,0,0,0,4,0.001869108,0.001869108,6,0.001869108,0.05055842,0
26,8,0.0,0,0,3,1,1,1,5,0.026562851,0.026562851,7,0.026562851,0.072917001,0
26,8,0.0,0,0,6,4,4,5,9,0.085106383,0.085106383,11,0.106382979,0.127659574,1
26,8,0.0,0,0,4,2,2,3,7,0.044444444,0.044444444,9,0.066666667,0.088888889,1
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.051282051,0
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.048780488,0
26,8,0.0,0,0,6,4,4,5,9,0.083333333,0.083333333,11,0.104166667,0.125,0
26,8,0.0,0,0,6,4,4,4,8,0.090909091,0.090909091,10,0.090909091,0.136363636,1
26,8,0.0,0,0,2,0,0,1,5,0.0,0.0,7,0.023255814,0.046511628,0
26,8,0.0,0,0,2,0,0,7,11,0.013583368,0.013583368,13,0.108666944,0.041862006,0
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.045454545,1
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.048780488,1
26,8,0.0,0,0,5,3,3,3,7,0.071428571,0.071428571,9,0.071428571,0.119047619,1
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.05,1
26,8,0.0,0,0,5,3,3,3,7,0.066666667,0.066666667,9,0.066666667,0.111111111,1
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,12,0.0,0.045454545,1
26,8,0.0,0,0,6,4,4,4,8,0.086956522,0.086956522,10,0.086956522,0.130434783,0
26,8,0.0,0,0,8,6,6,7,11,0.135283704,0.135283704,13,0.15520657,0.175129435,0
26,8,0.0,0,0,6,4,4,4,8,0.097560976,0.097560976,10,0.097560976,0.146341463,1
26,8,0.0,0,0,2,0,0,1,5,0.0,0.0,7,0.023809524,0.047619048,1
26,8,0.0,0,0,3,1,1,1,5,0.023255814,0.023255814,7,0.023255814,0.069767442,0
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.05,0
26,8,0.0,0,0,7,5,5,5,9,0.102040816,0.102040816,11,0.102040816,0.142857143,1
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.048780488,0
26,8,0.0,0,0,3,1,1,1,5,0.022222222,0.022222222,7,0.022222222,0.066666667,0
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.045454545,1
26,8,0.0,0,0,2,0,0,1,5,0.0,0.0,7,0.024390244,0.048780488,1
26,8,0.0,0,0,4,2,2,2,6,0.043478261,0.043478261,8,0.043478261,0.086956522,1
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,5,0.0,0.041666667,0
26,8,0.0,0,0,5,3,3,3,7,0.068181818,0.068181818,9,0.068181818,0.113636364,1
26,8,0.0,0,0,5,3,3,3,7,0.073170732,0.073170732,9,0.073170732,0.12195122,1
26,8,0.0,0,0,7,5,5,5,9,0.113636364,0.113636364,11,0.113636364,0.159090909,1
26,8,0.0,0,0,2,0,0,0,4,0.006011259,0.006011259,6,0.006011259,0.055710696,0
26,8,0.0,0,0,9,7,7,8,12,0.148273322,0.148273322,14,0.169047144,0.189820966,0
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.046511628,0
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.054054054,1
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,7,0.0,0.038335295,0
26,8,0.0,0,0,2,0,0,2,6,0.0,0.0,8,0.042095366,0.042095366,0
26,8,0.0,0,0,6,4,4,4,8,0.088888889,0.088888889,10,0.088888889,0.133333333,1
26,8,0.0,0,0,2,0,0,0,4,0.011945242,0.011945242,6,0.011945242,0.060143035,0
26,8,0.0,0,0,5,3,3,3,7,0.068181818,0.068181818,9,0.068181818,0.113636364,1
26,8,0.0,0,0,5,3,3,3,7,0.075,0.075,9,0.075,0.125,1
26,8,0.0,0,0,8,6,6,6,10,0.109186944,0.109186944,12,0.109186944,0.145582592,0
26,8,0.0,0,0,3,1,1,1,5,0.024390244,0.024390244,7,0.024390244,0.073170732,0
26,8,0.0,0,0,4,2,2,2,6,0.050355373,0.050355373,7,0.050355373,0.095809919,0
26,8,0.0,0,0,4,2,2,2,6,0.065939128,0.065939128,8,0.065939128,0.112450756,0
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.054054054,1
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,5,0.0,0.074074074,1
26,8,0.0,0,0,5,3,3,3,7,0.068181818,0.068181818,9,0.068181818,0.113636364,1
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.045454545,0
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.048780488,0
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.048780488,0
26,8,0.0,0,0,6,4,4,4,8,0.093023256,0.093023256,10,0.093023256,0.139534884,1
26,8,0.0,0,0,4,2,2,2,6,0.067467432,0.067467432,8,0.067467432,0.112956826,0
26,8,0.0,0,0,5,3,3,3,7,0.065217391,0.065217391,9,0.065217391,0.108695652,1
26,8,0.0,0,0,4,2,2,2,6,0.045454545,0.045454545,8,0.045454545,0.090909091,1
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.05,1
26,8,0.0,0,0,3,1,1,1,5,0.023255814,0.023255814,7,0.023255814,0.069767442,1
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.047619048,0
24,8,0.0,0,0,5,3,3,3,7,0.066666667,0.066666667,24,0.066666667,0.111111111,1
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.043478261,1
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,5,0.0,0.058823529,1
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,7,0.0,0.048780488,1
26,8,0.0,0,0,4,2,2,2,6,0.045454545,0.045454545,8,0.045454545,0.090909091,0
26,8,0.0,0,0,2,0,0,0,4,0.001828296,0.001828296,6,0.001828296,0.045216391,0
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.048780488,0
26,8,0.0,0,0,6,4,4,4,8,0.088888889,0.088888889,10,0.088888889,0.133333333,1
26,8,0.0,0,0,7,5,5,5,9,0.113636364,0.113636364,11,0.113636364,0.159090909,1
26,8,0.0,0,0,2,0,0,1,5,0.0,0.0,7,0.023255814,0.046511628,1
26,8,0.0,0,0,3,1,1,1,5,0.02658103,0.02658103,6,0.02658103,0.07445943,0
26,8,0.0,0,0,8,6,6,6,10,0.130434783,0.130434783,12,0.130434783,0.173913043,1
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.048780488,1
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.054054054,1
26,8,0.0,0,0,2,0,0,1,5,0.0,0.0,7,0.023809524,0.047619048,1
26,8,0.0,0,0,6,4,4,6,10,0.085106383,0.085106383,12,0.127659574,0.127659574,1
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.054054054,1
26,8,0.0,0,0,7,5,5,5,9,0.113636364,0.113636364,11,0.113636364,0.159090909,1
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.051282051,1
26,8,0.0,0,0,6,4,4,4,8,0.088888889,0.088888889,10,0.088888889,0.133333333,1
26,8,0.0,0,0,4,2,2,3,7,0.046511628,0.046511628,9,0.069767442,0.093023256,1
26,8,0.0,0,0,15,13,13,15,19,0.245159744,0.245159744,21,0.27747633,0.282212239,0
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.044444444,0
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.05,0
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,5,0.0,0.048780488,0
26,8,0.0,0,0,5,3,3,3,7,0.066666667,0.066666667,9,0.066666667,0.111111111,1
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.054054054,1
26,8,0.0,0,0,3,1,1,3,7,0.036281621,0.036281621,9,0.072563241,0.073332911,0
26,8,0.0,0,0,5,3,3,3,7,0.066666667,0.066666667,9,0.066666667,0.111111111,1
26,8,0.0,0,0,3,1,1,1,5,0.024390244,0.024390244,6,0.024390244,0.073170732,0
26,8,0.0,0,0,2,0,0,0,4,0.02150189,0.02150189,6,0.02150189,0.065979078,0
26,8,0.0,0,0,6,4,4,4,8,0.085106383,0.085106383,10,0.085106383,0.127659574,1
26,8,0.0,0,0,4,2,2,2,6,0.044444444,0.044444444,8,0.044444444,0.088888889,1
26,8,0.0,0,0,3,1,1,1,5,0.024390244,0.024390244,7,0.024390244,0.073170732,1
26,8,0.0,0,0,2,0,0,0,4,0.0,0.0,6,0.0,0.048780488,0
26,8,0.0,0,0,3,1,1,1,5,0.023255814,0.023255814,7,0.023255814,0.069767442,1
26,8,0.0,0,0,4,2,2,3,7,0.048862903,0.048862903,10,0.051321491,0.082257701,0
